"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","platform_code"
"20825669",,"BRT TransOeste - Recreio Shopping - Sent. Santa Cruz",,"-23.019478713339133","-43.486944199498545","20825669",,"0","20825672",,
"18246014",,"Estrada Da Curicica próximo ao 3419",,"-22.94704718217687","-43.39005032790603","18246014",,"0",,,
"18230716",,"Estrada Do Engenho Da Pedra próximo ao 1",,"-22.845134628658702","-43.250095749320685","18230716",,"0",,,
"35019087","68204","Rua Acre, próximo ao nº 69","Próximo a Rua Miguel Couto","-22.89996710323519","-43.181753841004294","35019087",,"0",,,
"18246012",,"Rua Creso próximo ao 416",,"-22.9484437603198","-43.39012484696641","18246012",,"0",,,
"18230714",,"Estrada Do Engenho Da Pedra próximo ao 516",,"-22.845461405625365","-43.25239652075149","18230714",,"0",,,
"18246010",,"Rua Creso próximo ao 290",,"-22.949641978998883","-43.38950772471041","18246010",,"0",,,
"18230712",,"Rua Mossa Senhora Das Gracas próximo ao 1269",,"-22.84591272949054","-43.25366213128886","18230712",,"0",,,
"18246008",,"Rua Creso próximo ao 66",,"-22.952033242989135","-43.388332211311734","18246008",,"0",,,
"18246024",,"Estrada Do Guerengue próximo ao 2373",,"-22.941820558819913","-43.38427012391048","18246024",,"0",,,
"35019199","68205","Rua Sacadura Cabral, 154","lado oposto a CDURP","-22.897447776442736","-43.1863916655417","35019199",,"0",,,
"18346761",,"Estrada Agua Branca próximo ao 916",,"-22.868166176884458","-43.42489796825773","18346761",,"0",,,
"18261197",,"Rua Pinheiro Machado próximo ao 12","Universidade","-22.941298585355575","-43.18239833442255","18261197",,"0",,,
"18246030",,"Estrada Do Tindiba próximo ao 666","Igreja Universal","-22.92550309495423","-43.36948717236731","18246030",,"0",,,
"18346763",,"Estrada Agua Branca próximo ao 760",,"-22.86837512422598","-43.423128464013","18346763",,"0",,,
"18246016",,"Estrada Da Curicica próximo ao 3791",,"-22.94558404497301","-43.38884432368983","18246016",,"0",,,
"18246018",,"Rua Andre Rocha próximo ao 3771",,"-22.944780986299076","-43.3879703873359","18246018",,"0",,,
"18346752",,"Estrada Agua Branca próximo ao 2283",,"-22.86886453996717","-43.440290238485744","18346752",,"0",,,
"18246020",,"Rua Andre Rocha próximo ao 3779",,"-22.94341248138567","-43.385869168918624","18246020",,"0",,,
"18346754",,"Estrada Agua Branca próximo ao 2210",,"-22.869012900989844","-43.437579754864956","18346754",,"0",,,
"18246022",,"Estrada Curicica próximo ao 3215","Largo da Freguesia","-22.942539254348674","-43.38463073059162","18246022",,"0",,,
"18246040",,"Estrada Do Pau Ferro próximo ao 146",,"-22.92776779071753","-43.35111205916893","18246040",,"0",,,
